timestamp,strategi,mode,aksi,market,condition_id,outcome,harga,size_usd,skor,edge_pct,keterangan,end_date,resolved,menang,pnl
2026-07-17T00:15:51.848278+00:00,copytrade,paper,ikut,Will Toronto FC win on 2026-07-16?,0x57784b4d897ff8854e0a9c2f6faf195dbd7510b393a4943faa9da6b2005a241f,No,0.715,2.5,8.33,,2 trader · dry_run [agresif],2026-07-16,,,
2026-07-17T00:15:52.433620+00:00,copytrade,paper,ikut,Will Botafogo FR vs. Santos FC end in a draw?,0x26e86366101d82e72ea5898629b78bcd054fc3e5c1fd15e5b6714b26066f4bcc,No,0.3449,2.5,8.33,,1 trader · dry_run [agresif],2026-07-16,,,
2026-07-17T00:15:53.041490+00:00,copytrade,paper,ikut,Swiss Open: Raphael Collignon vs Valentin Vacherot,0x93ef6ecab1a8c9c50d084547f1648bec4de13ea1dd795ee95128320d457b73d3,Raphael Collignon,0.585,2.5,8.33,,1 trader · dry_run [agresif],2026-07-24,,,
2026-07-17T00:15:53.623836+00:00,copytrade,paper,skip_harga,Botafogo FR vs. Santos FC: O/U 5.5,0x4eed7bc8d3d64b95d3b74e1d0e7eb3b434a47cea87beb6f9de0fccd35765fcc3,Under,0.9945,,,,harga 0.9945 > maxprice 0.85 (favorit),2026-07-16,,,
2026-07-17T00:15:53.767819+00:00,copytrade,paper,ikut,Will EC Vitória vs. CR Vasco da Gama end in a draw?,0xd36a1218a5c02d8dd5668affb8599c1267e78dbddbad9c4d8aa80ceada525e4b,Yes,0.15,2.5,8.33,,1 trader · dry_run [agresif],2026-07-16,,,
2026-07-17T00:15:54.379181+00:00,copytrade,paper,ikut,France vs. England: 1st Half O/U 1.5,0x0eee94db602c24c426853848ef110e7d8c55824de055c881b21af397079caa9c,Under,0.555,2.5,8.33,,1 trader · dry_run [agresif],2026-07-18,,,
2026-07-17T00:15:54.999006+00:00,copytrade,paper,skip_harga,Lincoln: Yibing Wu vs Yunchaokete Bu,0x98d7baae356f45da3cbb4f7a61ee3aafd045ebdb02c4abc61a8acfa7f3af602a,Yunchaokete Bu,0.9995,,,,harga 0.9995 > maxprice 0.85 (favorit),2026-07-23,,,
2026-07-17T00:15:55.112657+00:00,copytrade,paper,ikut,Botafogo FR vs. Santos FC: O/U 2.5,0xdecb11c7d1d3fef745e41f42f28c9ea1218b4a0aa3d17cdb34bcbb38e1063bb8,Over,0.395,2.5,8.33,,1 trader · dry_run [agresif],2026-07-16,,,
2026-07-17T00:15:55.707688+00:00,copytrade,paper,skip_harga,New York Mets vs. Philadelphia Phillies,0x65670c7c4f3f691833e48aabc9937abb59c92d6c43d6e896ae8cc011870fc166,New York Mets,0.875,,,,harga 0.875 > maxprice 0.85 (favorit),2026-07-23,,,
2026-07-17T00:15:55.829965+00:00,copytrade,paper,ikut,France vs. England: O/U 1.5,0x6305ecd7daf99884bcac6e4a27a75309fa8d9695f95b8ecb2af2cc444f5cc78d,Under,0.135,2.5,8.33,,1 trader · dry_run [agresif],2026-07-18,,,
2026-07-17T00:15:56.419949+00:00,copytrade,paper,ikut,Botafogo FR leading at halftime?,0x9231b44a58c435289036c83188ce662ef36bd19033fc8421c4aa094db06c7bae,No,0.0005,2.5,8.33,,1 trader · dry_run [agresif],2026-07-16,,,
2026-07-17T00:15:56.990438+00:00,copytrade,paper,ikut,Swiss Open: Alexander Shevchenko vs Dominic Stephan Stricker,0x1b531e1a84bccf3556c4e43471cf6f25ca2a37bba51db849d653301404dc780b,Alexander Shevchenko,0.295,2.5,8.33,,1 trader · dry_run [agresif],2026-07-23,,,
